T: GENE NAME;RVFV 1;RVFV 2;RVFV 3;RVFV 4;WNV 1 ;WNV 2;WNV 3;WNV 4;MAYV 1 ;MAYV 2;MAYV 3;MAYV 4;ZIKV 1 ;ZIKV 2;ZIKV 3;ZIKV 4;SFV 1;SFV 2;SFV 3;SFV 4
TMED2;1,01;1,1;0,86;0,96;0,53;0,54;0,58;0,57;0,96;0,74;0,51;0,94;0,38;0,67;0,27;0,24;0,99;1,01;1,28;1,06
NAPA;0,61;0,72;0,7;0,52;0,25;0,31;0,33;0,27;0,16;0,19;0,18;0,18;0,18;0,17;0,29;0,24;0,35;0,2;0,28;0,11
CNOT3;1,4;1,54;1,52;1,36;0,93;0,79;0,99;0,88;0,29;0,32;0,41;0,53;0,71;0,74;0,71;0,39;0,57;0,54;0,58;0,53
NUMBL;1,14;1,21;1,33;1,19;0,92;0,94;0,99;0,8;0,44;0,87;0,32;0,45;0,25;0,38;0,24;0,38;2,22;1,99;1,63;1,61
HPS6;1,14;1,39;1,33;1,34;1,2;1,28;1,28;0,87;1,22;0,85;0,79;0,79;1,62;1,13;1,57;0,83;1,23;1,25;1,4;1,36
AHNAK2;1,36;1,38;1,55;1,41;1,14;1,24;1,21;1,32;0,53;0,85;1,41;0,86;0,62;0,87;1,06;0,73;1,99;1,43;1,68;1,76
AP5Z1;1,07;1,14;1,11;1,15;1,1;0,96;0,94;0,95;0,84;0,75;0,79;0,96;0,47;0,41;0,41;0,48;1,23;1,23;1,33;1,64
AGO1;1,38;1,39;1,45;1,46;1,43;1,39;1,55;1,35;1,47;1,44;1,34;1,53;1,41;1,49;1,42;1,39;0,97;1,36;1,2;1,19
CNOT1;1,03;1,12;1,11;0,99;0,68;0,84;0,92;0,77;0,61;0,62;0,48;0,38;0,59;1,35;0,61;0,79;0,39;0,45;0,6;0,47
ADA;0,89;1;0,98;0,92;0,65;0,6;0,6;0,58;0,45;0,5;0,48;0,55;0,37;0,36;0,74;0,75;1,35;1,46;1,26;1,3
UBL5;0,83;1;0,9;0,95;0,35;0,45;0,38;0,38;0,13;0,11;0,22;0,33;0,23;0,25;0,62;0,22;1,56;1,67;1,09;1,39
CETN2;1,13;1,36;1,29;1,37;0,82;0,94;0,83;0,8;0,74;0,89;1,15;1,18;1,19;0,79;0,7;0,92;0,64;0,75;0,89;0,9
FMR1;1,09;1,06;0,94;0,93;0,56;0,8;0,74;0,67;0,61;1,12;1,1;1,01;0,93;0,6;1,11;1,11;0,57;0,95;0,9;0,98
RND3;0,89;1,02;0,89;0,82;0,52;0,59;0,58;0,45;0,02;0,06;0,03;0,02;0,24;0,25;0,15;0,15;0,18;0,44;0,28;0,18
NUP54;1,16;1,02;1,04;1,09;0,76;0,7;0,71;0,87;0,72;1,07;0,6;1,02;0,62;1,04;1,04;1,13;0,78;0,83;0,77;0,9
CASP4;1,26;1,22;1,28;1,17;0,95;1,26;1,27;1,14;1,58;1,58;1,75;0,87;1,55;1,26;0,91;1,07;0,91;0,91;1,35;1,05
PI4K2B;1,01;0,89;0,71;0,81;1,22;1,16;1,05;1,08;0,71;0,92;0,87;0,55;0,73;1,39;1,36;0,95;0,84;0,73;0,65;1,21
EPN1;0,88;0,98;0,77;0,82;1,21;1,3;1,33;0,92;0,55;0,99;1,13;0,79;2;1,86;1,83;1,67;1,08;0,79;0,82;0,85
NNT;0,6;0,62;0,51;0,52;0,96;0,88;1,07;0,87;0,64;0,55;0,71;0,98;0,71;0,6;1,06;0,87;0,84;0,62;0,74;0,57
UBIAD1;0,77;0,71;0,65;0,66;0,83;0,77;0,82;0,85;0,38;0,25;0,34;0,28;0,29;0,1;0,2;0,25;0,45;0,55;0,58;0,35
HSBP1;1,04;1,24;1,12;1,33;0,94;1,33;1,24;1,11;0,95;0,68;1;0,99;1,09;1,11;1,05;1,05;0,76;0,98;1,15;0,89
ACSL1;0,97;1,09;1,09;1,13;0,83;0,94;0,69;0,57;1,02;1,44;1,67;1,4;0,77;0,75;0,89;0,89;0,53;0,79;0,69;0,53
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
