KNOWN HOST FACTOR SARS for SARS-CoV-2;INTERACTORS WITH KNOWN HOST FACTOR SARS ;PHOSPHOSITE SARS-CoV-2;GLYCOSITE Sars-CoV2;ENZYMATIC ACTIVITY ;DRUGGBLE;NEW INTERACTORS AFTER THE INFECTION
AGO1;ACTB;ABCC1;ABCC1;ABCA1;ABCA1;AGO1
ATP6V1E1;ATP6V1F;ABCC3;ACTB;ABCC1;ABCC1;AGO2
CSNK2B;CNOT1;ADAM10;ADAM10;ABCC3;ABCC3;AGO3
CTSL;CNOT2;ADCY9;ALDH3B1;ACSL1;ACSL1;ARL8A
DRG1;CTNNB1;AFDN (MLLT4);ANTXR1;ACTB;ACTB;ARL8B
FMR1;DPY30;AHNAK2;ARL8A;ADA;ADA;CAV1
HAT1;GOSR2;ANTXR1;ARL8B;ADAM10;ADAM10;CAVIN2 (SDPR)
HTATIP2;JUP;BAZ1B;ATP6V1E1;ADCY9;ADCY9;CDH11
ME2;LSM7;BCR;ATP6V1F;AGA;AFDN (MLLT4);CETN2
PIK3C3;NAPA;CAV1;CAV1;AGO2;ALDH3B1;CHD3
TMED2;RND3;CAVIN2 (SDPR);DRG1;AGO3;ANTXR1;CHD4
TRMT5;SEC13;CDK16;EPN1;ALDH3B1;ATP6V1E1;CNN2
VPS39;SEC24A;CHD3;ERGIC1;ANTKMT (FAM173A);ATP6V1F;CNN3
ZC3H15;SEC24B;CHD4;F2R;ARL8B;B4GALT1;CNOT1
;SEPTIN10;CNOT2;GOSR2;B4GALT1;BCR;CNOT3
;SEPTIN11;CNOT3;HGS;BAZ1B;BLMH;CTNNB1
;SEPTIN6;CSNK2B;PFKFB3;BCR;CASK;DPY30
;SEPTIN8;CTNNB1;SLC12A2;BLMH;CASP4;DRG1
;SOD1;DIP2A;SLC12A4;CASK;CDK16;DTX3L
;STAM2;DSP;STAM2;CASP4;CDK17;EPN1
;TCIRG1;DTX3L;TMED4;CDK16;CRYZ;ERGIC1
;TMED4;EPN1;UBAP1;CDK17;CSNK2B;ERGIC3
;TMED9;ERCC6L;UBE2F;CHD3;CTNNB1;F2R
;UBAP1;HABP4;VPS33A;CHD4;CTSL;FMR1
;USP19;IRS1;ZC3H15;CRYZ;CYB5A;FXR1
;VPS33A;ITPRID2 (SSFA2);;CTSL;DHFR;GOSR2
;;JUP;;DHFR;DHRS4;HAT1
;;MAP2K4;;DHRS4;DSP;HGS
;;MAP3K9;;DIP2A;EEA1;JUP
;;MINK1;;DRG1;EPN1;LSM7
;;MRTFA (MKL1);;DTX3L;F2R;MAP4K4
;;MYLK;;ELAC2;GLA;MINK1
;;NOTCH3;;ERCC6L;GUK1;NAPA
;;NUP188;;GLA;GYG1;NOTCH1
;;OGT;;GUK1;HABP4;NUP37
;;OSBPL3;;GYG1;HGS;NUP54
;;PFKFB3;;HAT1;HTATIP2;PARP9
;;PNPO;;MAN2A1;IRS1;PCID2
;;PPFIBP1;;MAP2K4;JUP;PFKFB3
;;PPFIBP2;;MAP3K9;MAN2A1;PFKFB4
;;PRKD1;;MAP4K4;MAP2K4;PPFIBP1
;;PRKD2;;MCAT;MAP3K9;PPFIBP2
;;RABEP1;;ME2;MAP4K4;PPIH
;;SEPTIN6;;ME3;MCAT;PRRC1
;;SLC12A2;;MINK1;ME2;RND3
;;SLC12A4;;MYLK;ME3;SEC13
;;SYNRG;;MYLK2;MINK1;SEC24A
;;UBAP1;;NNT;MRTFA (MKL1);SEC24B
;;USP19;;OGT;MYLK;SEPTIN10
;;XPO1;;PARP9;MYLK2;SEPTIN11
;;;;PFKFB3;NNT;SEPTIN6
;;;;PFKFB4;PFKFB4;SEPTIN8
;;;;PI4K2B;PI4K2B;SLC12A4
;;;;PIK3C3;PIK3C3;SLC12A7
;;;;PLCD1;PLCD1;SNRNP27
;;;;PNPO;PNPO;STAM2
;;;;PPIH;PPIH;TDRD3
;;;;PPT1;PPT1;TMED2
;;;;PRDX5;PRDX5;TMED4
;;;;PRKD1;PRKAG1;TMED9
;;;;PRKD2;PRKD1;TNIK
;;;;RIDA;RND3;TOP3B
;;;;SLC12A2;S100A16;TSG101
;;;;SLC12A4;S100A9;UBL5
;;;;SLC12A7;SLC12A2;VPS33A
;;;;SLC16A7;SLC12A4;VPS39
;;;;SOD1;SLC12A7;VPS45
;;;;SOD2;SLC16A7;ZC3H15
;;;;SRD5A3;SOD1;
;;;;TNIK;SOD2;
;;;;TOP3B;SRD5A3;
;;;;TRMT5;TCIRG1;
;;;;UBE2F;TNIK;
;;;;UBIAD1;UBIAD1;
;;;;USP19;VCAM1;
;;;;VKORC1;VKORC1;
;;;;;XPO1;
