T: T: Genes,C: Winner INF,endosome-vesicle,protein-complex,PM,ER,Cytoplasm,Mitochondria,Nucleus,Translation,Lysosome,Peroxisome,Golgi apparatus,LD,T: T: Protein Ids,T: T: Protein Names,T: T: Protein Group,T: T: First Protein Description
FAM114A2,protein-complex,-0.612557,0.733756,0.37682,-2.16147,-1.74249,-1.5095,-1.79424,-1.66891,-3.87162,-3.1952,-2.56375,-1.25966,Q9NRY5;E5RGF9;E5RHI8;E5RHP2;E5RFK2,F1142_HUMAN,Q9NRY5,Protein FAM114A2
ATP6V1B2,protein-complex,-1.40182,0.455597,-0.349036,-1.55826,-1.27745,-1.84684,-2.0868,-2.59786,-3.86447,-2.96228,-1.68604,-1.27479,P21281;H0YC04,VATB2_HUMAN,P21281,"V-type proton ATPase subunit B, brain isoform"
ITCH,PM,-1.29192,-0.0343128,0.711183,-2.31491,-0.912124,-1.3066,-1.60843,-2.58021,-3.60082,-2.64259,-2.29327,-1.40212,Q96J02;A0A1W2PNZ8;A0A590UK44;A0A590UJQ1;A0A590UJW8;A0A590UIY0;A0A8V8TKK4;Q96J02-2;A0A590UK95,ITCH_HUMAN,Q96J02;Q96J02-2,E3 ubiquitin-protein ligase Itchy homolog
SNX5;SNX6,protein-complex,-0.916006,1.04515,-2.22621,-2.01679,-0.235923,-1.86107,-1.06819,-1.97964,-3.29221,-2.73255,-2.01513,-1.34139,Q9Y5X3;Q9UNH7;H0YJF8;G3V5X9;G3V4Z5;G3V2U1;A0A0A0MRI2;Q5QPE4;Q5QPE5,SNX5_HUMAN;SNX6_HUMAN,Q9UNH7;Q9Y5X3,Sorting nexin-6
MIB1,protein-complex,-1.51987,1.22229,-1.97871,-2.1163,-1.92156,-1.21097,-2.07728,-2.15532,-3.03519,-2.29773,-1.53551,-1.07197,Q86YT6,MIB1_HUMAN,Q86YT6,E3 ubiquitin-protein ligase MIB1
COPB1,protein-complex,-1.02993,0.182993,-2.3354,-1.64454,-0.413737,-2.13904,-1.84123,-3.85858,-3.79545,-1.89437,-2.3774,-1.55351,P53618,COPB_HUMAN,P53618,Coatomer subunit beta
SNX16,Cytoplasm,-1.07978,-1.09266,-2.69117,-1.68047,0.758727,-0.459884,-0.890064,-3.80892,-3.22949,-1.80546,-1.60692,-1.32511,P57768;P57768-2;E5RGQ6;E5RH07,SNX16_HUMAN,P57768;P57768-2,Sorting nexin-16
ARPC1A;ARPC1B,Cytoplasm,-1.98932,-1.52556,-2.95964,-1.24631,1.62615,-1.74587,-2.05414,-2.75326,-3.82069,-1.84287,-1.95953,-1.28898,Q92747;O15143;C9K057;Q92747-2;C9JEY1;E9PF58;A0A1W2PNV4,ARC1A_HUMAN;ARC1B_HUMAN,O15143;Q92747,Actin-related protein 2/3 complex subunit 1B
ARPC1B,Cytoplasm,-1.69533,-1.61712,-2.05241,-1.35905,1.46041,-2.42307,-1.3284,-3.40034,-3.74596,-1.82445,-2.53194,-1.63302,O15143;C9K057;C9JEY1;A0A1W2PNV4,ARC1B_HUMAN,O15143,Actin-related protein 2/3 complex subunit 1B
ZFYVE16,Cytoplasm,-1.19725,-0.960829,-1.43537,-1.00555,1.11915,-1.96371,-1.15646,-2.80946,-3.25758,-1.70965,-1.17673,-1.41548,Q7Z3T8;Q7Z3T8-3,ZFY16_HUMAN,Q7Z3T8,Zinc finger FYVE domain-containing protein 16
