WELL NAME;INFECTION 1;INFECTION 2;INFECTION 3;INFECTION 4;REINFECTION 1;REINFECTION 2;REINFECTION 3;REINFECTION 4;REINFECTION 5;REINFECTION 6
A1- MOCK;0;0;0;0;0;0;0;0;0;0
A2- MOCK;0;0;0;0;0;0;0;0;0;0
A3- MOCK;0;0;0;0;0;0;0;0;0;0
A4- MOCK;0;0,01;0;0;0;0;0;0;0;0
A5- MOCK;0;0;0;0;0;0;0;0;0;0
A6- MOCK;0;0;0;0;0;0;0;0;0;0
A7- inf;0,7;0,62;0,92;1,04;0,61;0,31;0,84;1,01;1,12;0,98
A8- VMP1;0,01;0,07;0,08;0,03;0;0;0;0,2;0,04;0
A9- PLK;0,45;0,4;0,53;0,66;0,44;0,26;0,32;0,79;0,92;0,78
A10- PLK;0,23;0,43;0,7;1,14;0,66;0,35;0,45;0,9;0,99;1,02
A11- PLK;0,01;0,7;0,83;0,91;0,09;0,04;0,01;0,93;0,84;0,53
A12- inf;0,01;1,06;0,4;0,98;0,12;0,06;0,08;0,85;0,89;0,72
B1- ACE2 (esterno);0,04;0,24;0,01;0,29;0,22;0,51;0,31;0,37;0,7;0,52
B2- empty;0,37;0,99;0,32;0,75;0,97;1,03;1,24;1,17;1,02;1,06
B3- empty;0,43;0,67;0,62;0,63;1,03;1,43;1,27;1,11;1,02;0,76
B4- ACTB;0,58;1,09;0,88;1,68;0,99;1,16;1,3;0,91;0,89;0,9
B5- SLC12A4;0,54;0,16;0,66;0,63;0,76;1,04;1,16;0,98;0,99;0,95
B6- USP19;0,85;0,87;0,97;1,42;1,2;0,52;1,29;1;0,98;0,99
B7- EPN1;0,32;0,1;0,37;0,19;0,12;0,09;0,38;0,34;0,41;0,92
B8- SEC13;0,5;0,94;0,84;1,24;0,87;1,39;1;0,76;0,86;0,96
B9- UBAP1;1,18;0,94;1,16;1,64;1,06;0,82;1,23;0,53;0,99;0,92
B10- OGT;0,94;0,51;0,81;1,42;0,27;0,3;0,48;0,74;0,85;1,07
B11- PFKFB3;1,2;1,14;1,19;1,67;0,59;1,26;0,73;1,08;1,15;0,98
B12- NT (esterno);0,65;1,09;1,01;1,39;0,75;0,86;0,43;1,03;0,94;0,83
C1- ACE2 (esterno);0,05;0,14;0,13;0,21;0,03;0,1;0,04;0,38;0,24;0,29
C2- BCR;0,73;0,76;0,91;1,08;1,1;1,47;1,2;1,1;0,92;1,01
C3- HGS;1,18;0,66;1,07;1,38;1,03;1,47;1,53;1,18;0,96;1,06
C4- NT;0,84;1,03;1,01;0,97;1;1,13;1,49;1,2;1,18;1,17
C5- ABCC1;0,82;1,08;1,09;1,44;0,21;0,47;1,07;1,06;1,1;0,87
C6- SLC12A2;0,95;0,94;1,18;1,51;0,91;0,63;1,26;1,14;1,11;1,17
C7- SEPT6;0,62;0,5;0,54;0,78;0,82;0,3;0,9;0,15;0,4;0,97
C8- ADAM10;0,84;0,48;0,46;1,16;0,49;0,95;0,95;0,58;0,66;0,87
C9- CTNNB1;0,99;0,97;0,94;1,13;0,58;0,85;0,95;0,53;0,98;0,91
C10- F2R;0,93;0,68;0,95;1,33;0,98;0,35;0,91;0,43;0,82;0,92
C11- JUP;1,14;0,78;1,04;1,25;0,74;1,29;0,68;0,68;0,82;0,91
C12- NT (esterno);0,54;0,94;0,87;1,1;0,58;0,55;0,8;0;0,95;0,88
D1- ACE2 (esterno);0,02;0,09;0,07;0,16;0,41;0,43;0,04;0,3;0,23;0,13
D2- PRKD1;0,55;1,01;0,78;1,51;1,24;1,43;1,56;1,26;1,29;1,22
D3- MINK1;0,52;1,05;1,1;1,59;0,55;0,94;1,55;1,14;1,2;1,19
D4- ANTXR1;0,87;1,08;1,05;1,46;1,06;1,35;1,4;0,99;1,12;1,2
D5- DIP2A;0,52;0,99;0,82;1,09;0,3;0,65;1,31;0,91;0,6;0,88
D6- SEC24A;0,41;0,65;0,7;0,74;0,36;0,05;1,19;0,68;0,72;0,99
D7- ACE2;0,08;0,02;0,07;0,11;0,27;0,01;0,06;0,1;0,01;0,64
D8- SLC12A7;0,79;0,94;1,03;1,4;0,17;0,97;1,05;0,24;0,14;0,85
D9- UBE2F;0,83;1,1;1,19;1,45;0,22;0,03;0,84;0,23;0,58;1,09
D10- XPO1;0,3;0,55;0,46;1,49;0,3;0,13;0,88;0,57;0,72;1,07
