T: T: Genes,C: Winner MOCK,endosome-vesicle,protein-complex,PM,ER,Cytoplasm,Mitochondria,Nucleus,Translation,Lysosome,Peroxisome,Golgi apparatus,LD,T: T: Protein Ids,T: T: Protein Names,T: T: Protein Group,T: T: First Protein Description
TMEM9B,Golgi apparatus,-2.07535,-2.24953,-3.1379,-2.47094,-1.66134,-1.77583,-1.08275,0.433045,-3.37222,-2.63897,0.502196,-1.04234,Q9NQ34;Q9NQ34-2,TMM9B_HUMAN,Q9NQ34,Transmembrane protein 9B
FIG4,Translation,-1.0958,-0.994729,-3.82404,-1.16915,-1.90304,-1.43873,-1.30713,0.964354,-3.6592,-2.5902,-0.969177,-1.24476,Q92562;A0A6Q8PFJ3;A0A6Q8PG59;A0A6Q8PGB4;A0A6Q8PGC1;A0A6Q8PGY4;A0A6Q8PGY7;A0A6Q8PHA1;A0A6Q8PGW5;A0A6Q8PGP4;A0A6Q8PGW0;A0A6Q8PH92;A0A6Q8PF27;A0A6Q8PF62;A0A6Q8PF70;A0A6Q8PHK3;A0A6Q8PHP5;A0A6Q8PHC7;A0A6Q8PHH5,FIG4_HUMAN,Q92562,Polyphosphoinositide phosphatase
VPS53,Translation,-1.16831,-1.88739,-4.4742,-1.57007,-2.047,-1.88358,-1.25368,1.81101,-3.78881,-2.33267,-0.984459,-1.36569,Q5VIR6;A0A7P0T9V8;A0A7P0T9X9;A0A7P0T8P7;A0A7P0T8V1;A0A7P0T8V2;A0A7P0T9B2;A0A7P0T805;A0A7P0T874;F6VX93;A0A7P0TB80;A0A7P0TBJ8;A0A7P0TA79;A0A7P0TA82;A0A7P0TAF8;A0A7P0TAE0;A0A7P0TAK4;A0A7P0TB16;A0A7P0Z4K0;A0A7P0Z4Q7;A0A7P0Z400;A0A7P0Z461;Q5VIR6-1;Q5VIR6-2;Q5VIR6-3;I3L4P9;I3L184;I3L0S6,VPS53_HUMAN,Q5VIR6,Vacuolar protein sorting-associated protein 53 homolog
VAC14,Translation,-1.15863,-1.66338,-4.70901,-1.30943,-1.90239,-2.05713,-1.30326,1.50875,-3.72255,-2.26831,-1.06604,-1.44198,Q08AM6;H3BUU8,VAC14_HUMAN,Q08AM6,Protein VAC14 homolog
VPS51,Translation,-1.24172,-1.67446,-4.46804,-1.91646,-1.82219,-2.29527,-1.53242,1.65788,-3.98332,-2.44946,-1.11136,-1.19996,Q9UID3;Q9UID3-2,VPS51_HUMAN,Q9UID3,Vacuolar protein sorting-associated protein 51 homolog
ITFG2,Translation,-1.75282,-2.07667,-2.35842,-2.45711,-0.621803,-2.1785,-2.17099,1.17884,-3.19327,-2.41194,-1.64336,-0.999933,Q969R8;H0YG72;H0YFM4,ITFG2_HUMAN,Q969R8,KICSTOR complex protein ITFG2
WDR59,Mitochondria,-1.59272,-2.38564,-2.43645,-0.447649,-1.08424,0.299555,-2.24079,-0.770355,-3.84796,-3.0451,-1.3516,-1.13676,Q6PJI9;Q6PJI9-2;B7Z7V6,WDR59_HUMAN,Q6PJI9,GATOR complex protein WDR59
TBC1D5,protein-complex,-0.766118,0.183727,-4.73835,-2.43992,-1.93858,-1.94499,-1.45378,-1.20885,-3.95494,-2.30375,-1.32361,-1.18324,Q92609;C9J3F6;Q92609-2;C9JDR8,TBCD5_HUMAN,Q92609;Q92609-2,TBC1 domain family member 5
RUFY1,protein-complex,-0.814265,0.0359713,-4.46713,-3.8755,-0.318042,-1.36387,-1.64712,-2.42594,-2.99018,-1.9826,-1.33597,-1.53525,Q96T51;J3KPP6;Q96T51-2;Q96T51-3;H0Y9Y8,RUFY1_HUMAN,Q96T51,RUN and FYVE domain-containing protein 1
SEC31A,endosome-vesicle,0.0644274,-0.797069,-4.14536,-2.34481,-1.01899,-1.75098,-1.34494,-0.802958,-2.95562,-2.06953,-1.16936,-1.94312,D6REX3;H0Y9V3;O94979-7;H7BXG7,SC31A_HUMAN,O94979-7,"Isoform of O94979, Isoform 7 of Protein transport protein Sec31A"
SNX2,endosome-vesicle,1.02651,-1.14878,-4.3837,-3.07595,-1.38544,-1.5549,-1.69806,-2.28588,-2.24648,-2.0381,-1.44035,-1.55955,O60749;D6RC15;O60749-2,SNX2_HUMAN,O60749;O60749-2,Sorting nexin-2
SNX1;SNX2,endosome-vesicle,0.482944,-1.01194,-4.65481,-2.64651,-1.28206,-1.68962,-1.51669,-2.31355,-2.92967,-2.10465,-1.36667,-1.44131,Q13596;O60749;H0YK42;O60749-2;Q13596-2;Q13596-3,SNX1_HUMAN;SNX2_HUMAN,O60749;O60749-2;Q13596;Q13596-3,Sorting nexin-2
