Gene Name ;Protein group ;Euclidean Distance from REPLICOME;Q-VALUE from REPLICOME;Euclidean Distance from ER;Q-VALUE from ER;RISULTATO;DELTA DISTANZA ;Organism;Final Organelle;PREDICTED LOCALIZATION IN INF (analisi 15 con proteine virali);Protein description
A2M;P01023;1,139567;7,44E-02;0,9920029;6,50E-02;Vicino all'ER;0,1475641;Homo sapiens;;PM;Alpha-2-macroglobulin
AAAS;Q9NRG9;1,092906;5,70E-02;1,013489;7,57E-02;Vicino all'ER;0,079417;Homo sapiens;;Nucleus;Aladin
AACS;Q86V21;2,12721;1,00E+00;1,879637;1,00E+00;Vicino all'ER;0,247573;Homo sapiens;;Cytoplasm;Acetoacetyl-CoA synthetase
AAGAB;Q6PD74;1,990731;1,00E+00;1,75643;1,00E+00;Vicino all'ER;0,234301;Homo sapiens;Cytoplasm;Cytoplasm;Alpha- and gamma-adaptin-binding protein p34
AAK1;A0A096LP25;2,033725;1,00E+00;1,821728;1,00E+00;Vicino all'ER;0,211997;Homo sapiens;protein-complex;protein-complex;AP2 associated kinase 1
AAMDC;Q9H7C9;2,101221;1,00E+00;1,859693;1,00E+00;Vicino all'ER;0,241528;Homo sapiens;;Cytoplasm;Mth938 domain-containing protein
AAMP;"C9JEH3;C9JG97;Q13685";2,024405;1,00E+00;1,78714;1,00E+00;Vicino all'ER;0,237265;Homo sapiens;;Cytoplasm;"Angio associated migratory cell protein;Angio associated migratory cell protein;Angio-associated migratory cell protein"
AARS1;P49588;2,13404;1,00E+00;1,896522;1,00E+00;Vicino all'ER;0,237518;Homo sapiens;Cytoplasm;Cytoplasm;Alanine--tRNA ligase, cytoplasmic
AARS2;Q5JTZ9;1,097847;5,88E-02;0,8522844;2,22E-02;Vicino all'ER;0,2455626;Homo sapiens;Mitochondria;Mitochondria;Alanine--tRNA ligase, mitochondrial
AASDHPPT;Q9NRN7;2,127605;1,00E+00;1,882954;1,00E+00;Vicino all'ER;0,244651;Homo sapiens;;Cytoplasm;L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASS;Q9UDR5;0,9780198;2,80E-02;0,8278405;1,78E-02;Vicino all'ER;0,1501793;Homo sapiens;Mitochondria;Mitochondria;Alpha-aminoadipic semialdehyde synthase, mitochondrial
AATF;"A0A7P0T868;A0A7P0TAR0;Q9NY61";1,37638;2,65E-01;1,195437;2,25E-01;Vicino all'ER;0,180943;Homo sapiens;;Nucleus;"Apoptosis antagonizing transcription factor;Apoptosis antagonizing transcription factor;Protein AATF"
ABAT;H3BRN4;1,018366;3,64E-02;0,8210905;1,69E-02;Vicino all'ER;0,1972755;Homo sapiens;Mitochondria;Mitochondria;4-aminobutyrate aminotransferase, mitochondrial
ABCA1;A0A7I2V5U0;1,232903;1,26E-01;1,029256;8,56E-02;Vicino all'ER;0,203647;Homo sapiens;;Lysosome;ATP binding cassette subfamily A member 1
ABCA2;"A0A087WXK5;Q9BZC7";1,989292;1,00E+00;1,806913;1,00E+00;Vicino all'ER;0,182379;Homo sapiens;endosome-vesicle;endosome-vesicle;ATP-binding cassette sub-family A member 2
ABCA8;"A0A0A0MSU4;O94911";2,074271;1,00E+00;1,877746;1,00E+00;Vicino all'ER;0,196525;Homo sapiens;;protein-complex;"ATP binding cassette subfamily A member 8;ABC-type organic anion transporter ABCA8"
ABCB10;Q9NRK6;1,112975;6,43E-02;0,8608276;2,40E-02;Vicino all'ER;0,2521474;Homo sapiens;Mitochondria;Mitochondria;ATP-binding cassette sub-family B member 10, mitochondrial
ABCB6;Q9NP58;1,852491;1,00E+00;1,648183;1,00E+00;Vicino all'ER;0,204308;Homo sapiens;;Cytoplasm;ATP-binding cassette sub-family B member 6
ABCB7;"A0A087WW65;A0A590UJS8;A0A5F9ZA98;O75027";1,292784;1,75E-01;1,047922;9,60E-02;Vicino all'ER;0,244862;Homo sapiens;Mitochondria;Mitochondria;"Iron-sulfur clusters transporter ABCB7, mitochondrial;Iron-sulfur clusters transporter ABCB7, mitochondrial;Iron-sulfur clusters transporter ABCB7, mitochondrial;Iron-sulfur clusters transporter ABCB7, mitochondrial"
ABCC1;P33527;0,6881695;3,37E-03;0,7794908;1,19E-02;Vicino al REPLICOMA;0,0913213;Homo sapiens;;PM;Multidrug resistance-associated protein 1
ABCC4;O15439;0,4287278;2,49E-05;0,4449027;3,44E-04;Vicino al REPLICOMA;0,0161749;Homo sapiens;;ER;ATP-binding cassette sub-family C member 4
ABCC9;"A0A804HKB7;H0YFV4;O60706";1,429979;3,39E-01;1,195673;2,25E-01;Vicino all'ER;0,234306;Homo sapiens;;protein-complex;"ATP binding cassette subfamily C member 9;ATP binding cassette subfamily C member 9 (Fragment);ATP-binding cassette sub-family C member 9"
ABCD1;P33897;1,84754;1,00E+00;1,620695;9,98E-01;Vicino all'ER;0,226845;Homo sapiens;;protein-complex;ATP-binding cassette sub-family D member 1
ABCD3;"A0A3B3ITW3;P28288";0,3673877;0,00E+00;0,6165749;2,61E-03;Vicino al REPLICOMA;0,2491872;Homo sapiens;Peroxisome;Peroxisome;"ATP binding cassette subfamily D member 3;ATP-binding cassette sub-family D member 3"
ABCD4;O14678;1,691618;8,10E-01;1,563936;8,89E-01;Vicino all'ER;0,127682;Homo sapiens;;PM;Lysosomal cobalamin transporter ABCD4
ABCE1;P61221;1,950069;1,00E+00;1,725684;1,00E+00;Vicino all'ER;0,224385;Homo sapiens;Translation;Translation;ATP-binding cassette sub-family E member 1
ABCF1;"Q5STZ8;Q8NE71";2,017321;1,00E+00;1,820147;1,00E+00;Vicino all'ER;0,197174;Homo sapiens;Translation;Translation;"ATP binding cassette subfamily F member 1;ATP-binding cassette sub-family F member 1"
ABCF2;Q9UG63;1,999118;1,00E+00;1,795372;1,00E+00;Vicino all'ER;0,203746;Homo sapiens;;Translation;ATP-binding cassette sub-family F member 2
ABCF3;Q9NUQ8;2,054174;1,00E+00;1,808009;1,00E+00;Vicino all'ER;0,246165;Homo sapiens;Cytoplasm;Cytoplasm;ATP-binding cassette sub-family F member 3
